,no_of_face,face_x,face_y,face_w,face_h,face_con,no_of_hand,pose_x,pose_y,phone,phone_x,phone_y,phone_w,phone_h,phone_con,label
count,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
mean,0.98925,254.650089472585,255.5572939413575,159.42356520891252,159.4200295077625,86.80179030891,0.67825,-0.076302406206,2.1544032124835,0.1515,27.35725,44.07875,47.44125,67.596,0.11966226169300001,0.4215
std,0.15697323864089813,52.04984002379398,59.45921627144026,43.990524991495164,43.986278787488175,14.372761237257194,0.8401805837754991,7.679379703830111,8.841681407896163,0.3585803884399472,75.37094478157228,110.74828370689771,118.64211535673824,161.42969265416323,0.2851114605598645,0.493861037824579
min,0.0,0.0,-29.02161598,0.0,0.0,0.0,0.0,-19.98664187,-38.62923243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,1.0,240.0104952,227.332100275,137.482705075,137.480628475,85.41891276999999,0.0,-3.68230053425,-3.935286596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,1.0,259.2511654,270.51852105,153.34999084999998,153.34984300000002,90.510478615,0.0,1.110766229,3.615889938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,1.0,279.900059725,291.378398525,184.414086375,184.404820175,94.2451342925,1.0,4.5727206845,9.087399532000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0
max,2.0,436.3791275,434.4304943,486.3272095,486.349926,98.24892282,2.0,32.5856814,36.5727997,1.0,500.0,447.0,640.0,480.0,0.931619048,1.0
